TEST NAME,PRICE IN RUPEES
BRUCELLOSIS IGG/IGM (EACH),4430
HERPES ZOSTER PCR (QUALITATIVE),4000
HSV PCR,6450
HCV PCR,6450
SWAB CULTURE DRESSING TROLLY,600
SWAB CULTURE MONITOR BED NO 3,600
SWAB CULTURE CARDIAC TABLE NO 4,600
SUCTION JAR BED NO 1,600
SWAB CULTURE VENTILATOR SKANRAY,600
SWAB CULTURE BED NO 1,600
SWAB CULTURE TOP FLOOR,600
Anti-HCV ELISA Igg,1800
PET SCAN,25000
synovial fluid analysis,250
QUANTU 4B PACK BREAKFAST/LUNCH,100
culture and sensitivity aerobic ( wound swab),1200
serum phosphate,450
CD4,2180
HIV viral load,7260
Aerobic culture,1210
An anaerobic culture,1330
Ziehl-Neelsen staining,850
Urine CBNAAT,2200
SERUM LACTATE,970
LEG WITH ANKEL AP/LAT VIEW,500
STOOL CULOSTRIDIUM DIFFICILE TOXIN,4500
hand AP/LAT view,500
x ray pelvis and both hips AP/LAT view,500
SPUTUM FOR FUNGAL STAIN,780
BLOOD CULTURE AND SENSITIVITY-LEFT(Anaerobic),2000
BLOOD CULTURE AND SENSITIVITY-RIGHT(Anaerobic),2000
6 Drug Panel (Urine),2000
nasopharynx x ray lateral,350
X-RAY FOOT AP VIEW,350
X ray pelvic frog ap/lat,500
bacterial culture and sensitivity,880
genexpert tb,3080
doppler arterial lower limb both,8000
tracheostomy tube secretions AFB,450
TRACHEOSTOMY TUBE SECRETIONS CULTURE AND SENSITIVITY,500
sputum for fat globules,550
urine  for fat globules,350
ULTRASOUND - ABDOMEN (FEMALE),1400
GRBS,60
CB NAT SPUTUM,3500
BLOOD CULTURE AND SENSITIVITY-RIGHT(Aerobic),1200
MRI PNS WITH ORBIT,11000
EYE EXAMINATION,100
AUDIOMETRY,500
URINE POTASSIUM,200
PRICE ADJUSTMENT,1000
Hepatitis C Virus(HCV Antibody) (CLIA),1000
HIV 1 and 2 Ag/Ab (4th generation) (CMIA),800
Hepatiti B Surface Antigen (CMIA),800
URINE ROUTINE,100
ABSOLUTE BASOPHIL COUNT,150
24 Hrs URINE POTASSIUM,600
ADENOVIRUS ANTIGEN FOR GASTROENTERITIS,10800
ESTRONE,8760
DNPH,720
CT - PARA NASAL SINUSES WITH CONTRAST,4800
CRYOGLOBULINS PANEL,1440
"CORTISOL SUPPRESSION BY DEXAMETHASONE, OVERNIGHT HIGH DOSE, SERUM",1440
BORRELIA IgG,1920
A/G RATIO,300
AFB - URINE,280
FREE PROTEIN S ANTIGEN,6480
FREE PSA,1200
EBV - IgG,3480
DOPPLER STUDY - BOTH LOWER LIMB ARTERIES,4000
ANTI SMITH ANTIBODY,3240
CULTURED ANAEROBIC BACTERIA IDENTIFICATION,1800
CADMIUM,7344
ANION GAP,720
"CULTURED AFB ANTITUBERCULAR DST, 4 DRUGS PANEL",28800
"BETA CROSSLAPS (BETA CTx),",2520
CT - BOTH HEEL,7200
AMIKACIN LEVEL,19200
"ANTI B TITRE, IgM",1140
ALKALINE PHOSPHATASE ( ALP) ISOENZYMES,240
"ANDROSTENEDIONE STIMULATION BY ACTH, SERUM",3060
COVID-19 QUALITATIVE  PCR,1440
CA 72.4 GASTRIC CANCER MARKER,3720
ADENOSINE DEAMINASE - ADA SERUM,720
17-HYDROXYPROGESTERONE ( 17-OHP) STIMULATION BY ACTH,1800
BETA 2 MICROGLOBULIN,3060
ALLERGIC PROFILE - VEGETARIAN FOOD,8880
CYTOLOGY BODY FLUID,840
CENTROMERE ANTIBODY SERUM,3060
CITRATE,1080
LDH - PLEURAL FLUID,612
FUNGAL SMEAR - KOH,1104
FACTOR IX ACTIVITY,3000
CT - BRAIN WITH CONTRAST,6000
ANTI THYROID PEROXIDASE ANTIBODIES-ANTI TPO,1400
CT - SHOULDER,4800
